Serial,Log_Type,time_start,time_end,CowTag,notes
321,CT,10/24/2023 17:00,11/3/2023 8:00,11,
353,CT,10/24/2023 17:00,11/3/2023 8:00,10,
325,CT,10/24/2023 17:00,11/3/2023 8:00,8,
5982,pendent,10/24/2023 17:00,11/3/2023 8:00,12,
5983,pendent,10/24/2023 17:00,11/3/2023 8:00,3,
7872,pendent,10/24/2023 17:00,11/3/2023 8:00,1,
320,CT,10/24/2023 17:00,11/3/2023 8:00,2,
323,CT,10/24/2023 17:00,11/3/2023 8:00,4,
318,CT,10/24/2023 17:00,11/3/2023 8:00,6,
335,CT,10/24/2023 17:00,11/3/2023 8:00,5,
100,WL,10/24/2023 17:00,11/3/2023 8:00,5,
4030,temp,10/24/2023 17:00,11/3/2023 8:00,7,
4041,temp,10/24/2023 17:00,11/3/2023 8:00,9,
332,CT,10/24/2023 17:25,11/3/2023 8:00,16,
870,WL,10/24/2023 17:25,11/3/2023 8:00,17,
351,CT,10/24/2023 17:25,11/3/2023 8:00,17,
349,CT,10/24/2023 17:25,11/3/2023 8:00,23,
350,CT,10/24/2023 17:25,11/3/2023 8:00,20,
344,CT,10/24/2023 17:25,11/3/2023 8:00,18,
338,CT,10/24/2023 17:25,11/3/2023 8:00,14,
6642,temp,10/24/2023 17:25,11/3/2023 8:00,15,
4034,temp,10/24/2023 17:25,11/3/2023 8:00,19,
6642,temp,10/24/2023 17:25,11/3/2023 8:00,21,
4035,temp,10/24/2023 17:25,11/3/2023 8:00,22,
2981,pendent,10/24/2023 17:25,11/3/2023 8:00,13,
2980,pendent,10/24/2023 17:25,11/3/2023 8:00,24,
343,CT,10/25/2023 14:30,11/2/2023 14:00,44,
327,CT,10/25/2023 14:30,11/2/2023 14:00,43,
515,CT,10/25/2023 14:30,11/2/2023 14:00,52,
*NEED THIS*,temp,10/25/2023 14:30,11/2/2023 14:00,45,
4028,temp,10/25/2023 14:30,11/2/2023 14:00,50,
9657,temp,10/25/2023 14:30,11/2/2023 14:00,47,
324,CT,10/25/2023 14:30,11/2/2023 14:00,42,
330,CT,10/25/2023 14:30,11/2/2023 14:00,49,
738,CT,10/25/2023 14:30,11/2/2023 14:00,46,
5987,pendent,10/25/2023 14:30,11/2/2023 14:00,53,
5984,pendent,10/25/2023 14:30,11/2/2023 14:00,48,
2072,pendent,10/25/2023 14:30,11/2/2023 14:00,51,
347,CT,10/25/2023 14:30,11/2/2023 14:00,41,
872,WL,10/25/2023 14:30,11/2/2023 14:00,41,
