Site,Cast_Num,ProfileStart,ProfileStop,Waypoint_num
La Source,1,11/3/2023 8:52,11/3/2023 8:54,
La Source,2,11/3/2023 9:00,11/3/2023 9:02,
La Source,3,11/3/2023 9:05,11/3/2023 9:07,
La Source,4,11/3/2023 9:09,11/3/2023 9:11,
La Source,5,11/3/2023 9:14,11/3/2023 9:16,
La Source,6,11/3/2023 9:18,11/3/2023 9:20,
Nordhoff,1,11/3/2023 10:31,11/3/2023 10:33,2
Nordhoff,2,11/3/2023 10:36,11/3/2023 10:38,2
Nordhoff,3,11/3/2023 10:41,11/3/2023 10:43,2
Nordhoff,4,11/3/2023 10:45,11/3/2023 10:47,2
Nordhoff,5,11/3/2023 10:50,11/3/2023 10:52,2
Nordhoff,6,11/3/2023 10:54,11/3/2023 10:56,2
